version,mode,operation,items,duration_sec,ops,ops_formatted,notes
dictsqlite,sync,individual_write,1000,0.0042066979999617615,237716.13745723842,237.72K,
dictsqlite,sync,individual_read,1000,0.06630480799981342,15081.862540086293,15.08K,
dictsqlite,sync,bulk_write,1000,0.002985304999810978,334974.14839130925,334.97K,
dictsqlite,sync,update,1000,0.003304588999981206,302609.49243784545,302.61K,
dictsqlite,sync,delete,1000,0.0019102339999790274,523496.0743086863,523.50K,
dictsqlite-fastest,sync,individual_write,10000,0.2340469949999715,42726.46183729562,42.73K,
dictsqlite-fastest,sync,individual_read,10000,0.16419209500008947,60904.27191391005,60.90K,
dictsqlite-fastest,sync,bulk_write,10000,0.02283859899989693,437855.2292128396,437.86K,
dictsqlite-fastest,sync,update,10000,0.29000955400010753,34481.622629564445,34.48K,
dictsqlite-fastest,sync,delete,10000,0.20485901699998976,48814.05830430447,48.81K,
dictsqlite-fastest,sync,mixed_operations,10000,0.2612091420000979,38283.49928118615,38.28K,
dictsqlite-fastest,async,individual_write,100,0.1649409519998244,606.2775725952307,606.28,
dictsqlite-fastest,async,individual_read,100,0.06754122699999243,1480.57718880368,1.48K,
dictsqlite-fastest,async,bulk_write,100,0.004193360000044777,23847.225136628433,23.85K,
beta,sync,individual_write,10000,0.041311101000019335,242065.6859277442,242.07K,normal_mode
beta,sync,individual_write,10000,0.04046118000019305,247150.4785562924,247.15K,optimized_mode
beta,sync,individual_read,10000,0.16462708600010956,60743.34572133133,60.74K,optimized_mode
beta,sync,bulk_write,10000,0.030349442000215276,329495.349533249,329.50K,optimized_mode
beta,sync,update,10000,0.04403948300000593,227068.96899763,227.07K,optimized_mode
beta,sync,delete,10000,0.1597763649999706,62587.4796938949,62.59K,optimized_mode
beta,sync,mixed_operations,10000,0.08539178999990327,117107.2769409252,117.11K,optimized_mode
