scenario,impl,mode,run,seconds,ops_per_sec
small_insert,dictsqlite,sync,1,0.697204,430.29
small_insert,dictsqlite,async,1,0.718934,417.28
small_insert,fast,sync,1,0.029707,10098.53
small_insert,fast,async,1,0.029929,10023.82
large_insert,dictsqlite,sync,1,0.741521,404.57
large_insert,dictsqlite,async,1,0.784968,382.18
large_insert,fast,sync,1,0.051540,5820.73
large_insert,fast,async,1,0.060295,4975.55
random_get,dictsqlite,sync,1,0.768814,390.21
random_get,dictsqlite,async,1,0.843987,355.46
random_get,fast,sync,1,0.064009,4686.83
random_get,fast,async,1,0.101114,2966.96
mixed_update,dictsqlite,sync,1,0.597441,502.14
mixed_update,dictsqlite,async,1,0.791431,379.06
mixed_update,fast,sync,1,0.066259,4527.68
mixed_update,fast,async,1,0.138341,2168.55
transaction_bulk,dictsqlite,sync,1,0.008038,37324.11
transaction_bulk,dictsqlite,async,1,0.749287,400.38
transaction_bulk,fast,sync,1,0.008203,36571.09
transaction_bulk,fast,async,1,0.011280,26596.45
table_switch,dictsqlite,sync,1,0.192525,1558.24
table_switch,dictsqlite,async,1,0.083698,3584.32
table_switch,fast,sync,1,0.019725,15209.36
table_switch,fast,async,1,0.030907,9706.38
bulk_set,dictsqlite,sync,1,0.839112,357.52
bulk_set,dictsqlite,async,1,0.865150,346.76
bulk_set,fast,sync,1,0.007385,40623.43
bulk_set,fast,async,1,0.008890,33744.26
